country,monument,photos_monuments,food,photos_food
China,"Great Bouddha of Tian Tan, ",https://2.bp.blogspot.com/-A2Gg_fWsdPU/VuGsh_PpQxI/AAAAAAAARfo/zvlbOrpGIPE/s1600/Lantau%2B-%2BBuda%2B%252814%2529.JPG, Peking Duck, http://jamielynnwaters.files.wordpress.com/2013/05/dsc02601.jpg
China,Temple of Heaven ,https://c1.staticflickr.com/3/2625/4120046260_c82813bb5f_b.jpg, Braised pork meatballs in sauce, https://i0.wp.com/www.angsarap.net/wp-content/uploads/2015/09/Braised-Pork-and-Fennel-Meatballs.jpg?resize=720%2C1080&ssl=1
China,Potala Palace,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB.jpg/450px-%E5%B8%83%E8%BE%BE%E6%8B%89%E5%AE%AB.jpg, Sichuan pork, https://live.staticflickr.com/8211/8344989243_7c0d78bc18_b.jpg
United Kingdom,Tower of London,"http://upload.wikimedia.org/wikipedia/commons/e/eb/Tower_of_London,_Traitors_Gate.jpg", Fish and Chips, http://pasaporteandonos.com/wp-content/uploads/2021/06/Comida-tipica-de-Londres-Fish-and-chips.jpg
United Kingdom,"London Eye, ",http://upload.wikimedia.org/wikipedia/commons/d/d6/London-Eye-2009.JPG, cream tea,https://i1.wp.com/belleabouttown.com/wp-content/uploads/cream-tea.jpg?resize=939%2C550
United Kingdom,"Tower Bridge, ",https://upload.wikimedia.org/wikipedia/commons/b/b4/Tower_Bridge%2CLondon_Getting_Opened_5.jpg, Falafels, https://c1.staticflickr.com/3/2932/32770879824_3aba302abb_h.jpg
United Kingdom,Edimburgh Castle ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Edinburgh_Castle_from_the_North.JPG/1024px-Edinburgh_Castle_from_the_North.JPG, Cornish Pasty, http://primadisvanire.it/wp-content/uploads/2014/01/pasty.jpg
United Kingdom,Westminster Abbey,http://upload.wikimedia.org/wikipedia/commons/c/c6/London_Westminster_Abbey.jpg, apple crumble, http://2.bp.blogspot.com/_Bsj07jy57o0/TOPnL_uLz3I/AAAAAAAAA1o/iOigXml-EgQ/s1600/apple+crumble.JPG
Australia,"Sydney Opera House, ",https://c2.staticflickr.com/8/7019/6409684029_89f10e9b0d_b.jpg, Chicken Parmigiana, https://www.angsarap.net/wp-content/uploads/2011/07/chicken-parmigiana.jpg
Australia,"Harbour Bridge, ",https://upload.wikimedia.org/wikipedia/commons/a/a8/Sydney_harbour_bridge_new_south_wales.jpg, Barbecue Snags,https://c1.staticflickr.com/3/2197/2113180643_fddb92ea47_b.jpg
Australia,"Melbourne Cricket Ground, ",https://upload.wikimedia.org/wikipedia/commons/f/f6/MCG_stadium.jpg, Grilled Kangaroo, http://img04.deviantart.net/576c/i/2012/295/0/d/kangaroo_steak_by_tkkttony-d5imrwv.jpg
Australia,"Darling Harbour, ",https://live.staticflickr.com/5089/5376406568_db9afbff08_b.jpg, Barramundi,https://live.staticflickr.com/2540/4112141304_477b5c7282_b.jpg
Australia,Uluru,http://images4.fanpop.com/image/photos/23300000/Uluru-Kata-Tjuta-National-Park-australia-23340417-1600-1200.jpg, Pavlova, http://mamaslegacycookbooks.com/wp-content/uploads/2013/05/Pavlova-Dessert.jpg
Mexico,Chichen Itza,https://upload.wikimedia.org/wikipedia/commons/a/a1/Chichen_itza.JPG, Empanadas,http://cookinaria.es/wp-content/uploads/2015/04/Empanadas-1-1024x683.jpg
Mexico,Tulum Archeological site,http://3.bp.blogspot.com/-qW_BO1-5jQ0/UQXIxgNbxNI/AAAAAAAAOKg/CmL18GhqBi4/s1600/DSC00671_edited-1.jpg, Tacos,http://3.bp.blogspot.com/-ztNH2L5apyQ/VX4U9XKyuvI/AAAAAAAAN40/VYuQco5OkGs/s1600/DSC_0292.JPG
Mexico,Chapultepec Castle,https://live.staticflickr.com/3801/8767316379_e2a6d02200_b.jpg, Quesadillas, https://elcomercio.pe/resizer/WAUA_VK331uK8wzu32mlwg96Dpg=/980x528/smart/arc-anglerfish-arc2-prod-elcomercio.s3.amazonaws.com/public/N3RLTCLRIZAAXFATN2COWHZIZQ.jpg
Mexico,Teotihuacan,https://raingod.com/photos/north-america/mexico/distrito-federal/teotihuacan/photos/teotihuacan-004-1920.jpg, Tostadas,http://www.ag.ndsu.edu/food/recipes/beans/mexican-tostadas/images/tostadas.jpg
Mexico,Coba Ruins,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Coba1.jpg/1200px-Coba1.jpg, Ceviche,http://3.bp.blogspot.com/-yrB8NzvReI4/VMj0yqOIugI/AAAAAAAAG6M/ely6yS7Baqk/s1600/Ceviche%2Bcon%2Bma%C3%ADz%2By%2Bboniato.jpg
Türkiye,Saint Sophie Museum and Basilica,http://www.madeleine-et-pascal.fr/IMG/jpg/Sophie01.jpg, Köfte,https://turcjawsandalach.pl/files/images/kuchnia/edirne_kofte/edirne_kofte_1.jpg
Türkiye,Basilica Cistern,https://global-geography.org/attach/Geography/Asia/Turkey/Pictures/Istanbul/Basilica_Cistern_2/WT0426_Yerebatan_Zisterne.jpg, Pide and Lahmacun,https://2.bp.blogspot.com/-GDxLNqayDuk/V-MJ_Iq2pGI/AAAAAAAAHYI/tsFcFAii7e87_r-h-l2j2GqQj0u9OJ-XgCLcB/s1600/Lahmacun.jpg
Türkiye,Süleymaniye Mosque,https://live.staticflickr.com/27/54018097_1d09c2aac0_b.jpg, Manti,https://live.staticflickr.com/3895/33723956676_8c05b83e51_b.jpg
Türkiye,Ephesus old town,https://www.middleeastmonitor.com/wp-content/uploads/2017/11/2017_11-16-The-ancient-antique-city-Ephesusn-2.jpg, Börek,https://4.bp.blogspot.com/-2Tf6J-JD4sM/WL7YoiWzfOI/AAAAAAABbEg/tuhcse1Cs-Izb7ZjOrh-jQlSP-QwfOkhwCLcB/s1600/IMGP7162.jpg
Türkiye,Blue Mosque,https://c1.staticflickr.com/3/2560/3845547589_45335940e6_b.jpg, Mezzès, http://1.bp.blogspot.com/-HCHa8VUkBZk/UPxcGvqRUlI/AAAAAAAAF-Y/sUhpDDKCN7o/s1600/Collage591.jpg
Egypt,Karnak Temple,https://brewminate.com/wp-content/uploads/2017/12/121517-56-Temple-Amun-Re-Hypostyle-Hall-Architecture-Art-History.jpg, Kochari,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Egyptian_food_Koshary.jpg/220px-Egyptian_food_Koshary.jpg
Egypt,Giza Necropolis,https://live.staticflickr.com/8735/16344178454_d00a9ca7d8_b.jpg, fūl medammis,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ful_medames_(arabic_meal).jpg
Egypt,Valley of Kings,http://upload.wikimedia.org/wikipedia/commons/7/77/%C3%84gypten_Tal_der_K%C3%B6nige.jpg, Fatta, https://i0.wp.com/paginasarabes.com/wp-content/uploads/2018/12/fatta.jpg?ssl=1
Egypt,Abou Simbel,https://austria-forum.org/attach/Geography/Africa/Egypt/Pictures/Abu_Simbel/Abu_Simbel_-_Great_Temple_5/ay743_Ramsestempel_Abu_Simbeljpg.jpg, Mloukhia,http://4.bp.blogspot.com/-qxEkXVOKFaA/VoZM2IRDcdI/AAAAAAAAHm4/Fn-UZv2JM4s/s1600/molokia4.jpg
Egypt,Great Pyramid of Cheops,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Gizeh_Cheops_BW_1.jpg/330px-Gizeh_Cheops_BW_1.jpg, Fesikh, https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Fesikh_of_Desouk.JPG/320px-Fesikh_of_Desouk.JPG
Spain,The Alhambra,https://upload.wikimedia.org/wikipedia/commons/8/8a/Alhambra_detail.jpg, Tortilla de patatas, http://ellunescierroelpico.com/wp-content/uploads/2016/12/IMG_1585.jpg
Spain,Sagrada Familia Basilica,https://upload.wikimedia.org/wikipedia/commons/6/69/Sagrada_Fam%C3%ADlia._Fa%C3%A7ana_del_Naixement.jpg, Paella,http://1.bp.blogspot.com/-153_cZc9Dtw/UEB71nRB2BI/AAAAAAAAAVU/5r_cDhtNeXI/s1600/PICT6785-.jpg
Spain,Mosque of Cordoba,http://farm8.staticflickr.com/7006/6725084559_8b2d9bf50f_z.jpg, Jamón Iberico, https://upload.wikimedia.org/wikipedia/commons/d/d4/Jamon_Iberico_on_Passeig_de_Gracia_Barcelona.jpg
Spain,Cathedral of Saint-Jacques-de-Compostelle,https://c1.staticflickr.com/9/8095/8399512278_d9cf4cb905_b.jpg, Pan con tomate, http://4.bp.blogspot.com/-08Yfkyyo11Q/VYWiEHdieiI/AAAAAAAAoBo/UHPhpKg6Fco/s1600/Pan%2Bcon%2Btomate%2Ben%2Bdos%2Btexturas%2B%2By%2Bjam%25C3%25B3n%2BFisan%2B%25284%2529.JPG
Spain,Cathedral of Burgos,https://c1.staticflickr.com/9/8019/7474650086_6b60658d4e_b.jpg, Chorizo,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Chorizo_de_Pamplona-2009.jpg/1200px-Chorizo_de_Pamplona-2009.jpg
Combodia,Angkor vat,http://2.bp.blogspot.com/-L7dj0nCZRyc/Vki24R6K83I/AAAAAAADvL0/oC0gIkCToaw/s1600/Angkor%2BVat%2B%2B-%2BCambodge_2015-03-05%2B17-32-52%2B-%2BDSC01473.jpg, Fish amok,http://www.cocinayaficiones.com/wp-content/uploads/2014/06/amok-pescado.jpg
Combodia,Bayon (Angkor),http://www.dailytravelphotos.com/images/2010/101205_siem_reap_cambodia_bayon_temple_faces_entrance_path_morning_IMG_5901.jpg, Kuy teav,https://live.staticflickr.com/3395/3340470241_ae7f49d96d_b.jpg
Combodia,Ta Prohm,https://live.staticflickr.com/6214/6217471257_bd07f3b89b_b.jpg, Chicken and banana flower salad, https://i0.wp.com/farm9.staticflickr.com/8621/16378729532_65283b10e5_o.jpg?resize=500%2C375&ssl=1
Combodia,Choeung Ek,https://live.staticflickr.com/1466/24665398255_59e656b099.jpg; Beef loc lac, http://daisyt13.files.wordpress.com/2012/09/bo-luc-lac-03.jpg
Combodia,Banteay Srei,https://live.staticflickr.com/597/32513039892_23aa35f6aa.jpg, Crab and pepper,https://live.staticflickr.com/4001/4545618287_ff55df0c1d.jpg
India,Taj Mahal,https://upload.wikimedia.org/wikipedia/commons/4/4e/Taj_Mahal,_Agra,_UP,_India.jpg, Masala dosa,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2020/10/masala-dosa-with-chutney-sauce-and-sambar-india.jpg
India,Amber Fortress and Palace,http://upload.wikimedia.org/wikipedia/commons/3/39/Amber_Fort,_Jaipur,_Rajasthan.JPG,Rogan josh,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shaheen_Ali/Kashmiri_Rogan_Josh.jpg
India,Qûtb Minâr,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Qutb_Minar_Tower.jpg/1200px-Qutb_Minar_Tower.jpg, Hyderabadi biryani,https://sites.google.com/site/amazingoffersdiscounts/_/rsrc/1504697137109/experience-the-delicate-taste-of-hyderabadi-biryani-in-your-home/htzpmwbmoklojshm4oyx.jpg
India,Swaminarayan Askhardham,https://s3u9x3j9.stackpathcdn.com/wp-content/uploads/2020/11/swaminarayan-akshardham-690x404.jpg, Indian chaats,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2020/10/panipuri-chaats-india.jpg
India,Golden temple,https://global-geography.org/attach/Geography/Asia/India/Pictures/Amritsar/Golden_Temple_5/IH0068_Goldener_Tempeljpg.jpg, Makki ki roti and sarson ka saag,https://s4.scoopwhoop.com/anj/ms/973055951.JPG
Peru,Machu Pichu,https://upload.wikimedia.org/wikipedia/commons/8/8a/Machu_Picchu_Peru.JPG, Lomo saltado,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2017/03/lomo_saltado-e1488341203937.jpg
Peru,Sacsayhuaman,https://global-geography.org/attach/Geography/America/Peru/Pictures/Cuzco/Sacsayhuaman_-_Fortification_Wall_2/pi109_Festungsmauer_Sacsayhuaman.jpg, Aji de gallina, https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2017/03/20881001044_e952ae77c8_k.jpg
Peru,Miraflores,https://upload.wikimedia.org/wikipedia/commons/5/50/Miraflores-Lima.jpg, Ceviche,http://www.speakymagazine.com/wp-content/uploads/2020/04/ceviche.jpg
Peru,Historic Center of Cusco,https://www.wondermondo.com/wp-content/uploads/2017/09/Cusco.jpg, Pachamanca,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2017/03/5000711654_0365fdda82_b-e1488341452662.jpg
Peru,Plaza de Armas,https://www.museosdelima.com/wp-content/uploads/2018/01/plaza-mayor-lima-1.jpg, Cuy chactado,http://peruvianfoodusa.com/wp-content/uploads/2017/06/cuy-chactado-peruano.jpg
Greece,Acropolis,http://brewminate.com/wp-content/uploads/2018/03/031318-27-Athens-Acropolis-Greek-Greece-Art-History.jpg, Taramasalata, http://4.bp.blogspot.com/-pbtUmqkaETU/Tr1FCFeBxPI/AAAAAAAAE_0/PCIZXYRD74w/w1200-h630-p-k-no-nu/TARAMASALATA+4.jpg
Greece,Parthenon,http://www.greek-islands.us/athens/parthenon/parthenon.jpg, Olives and olive oil,http://clamorworld.com/wp-content/uploads/2017/04/588917-olive-600x343.jpg
Greece,Acropolis of Lindos,https://live.staticflickr.com/5102/5640196281_de8838ca40_z.jpg, Dolmades, https://live.staticflickr.com/3519/3462050448_815f04e113_b.jpg
Greece,Meteors,http://upload.wikimedia.org/wikipedia/commons/6/62/Greece_meteora_monasteries.JPG, Moussaka, http://www.wanderingspice.com/wp-content/uploads/2011/10/Moussaka+slice.jpg
Greece,Spinalonga,https://live.staticflickr.com/775/21730701276_9a5f6e6995_b.jpg, Grilled meat, https://i1.wp.com/angsarap.net/wp-content/uploads/2012/12/beef-kofta.jpg
Germany,Miniatur Wanderland,https://www.deutschlandmalanders.com/wp-content/uploads/2020/04/Miniatur-Wunderland-Hamburg-10-1.jpg, Rouladen, https://www.swedishnomad.com/wp-content/images/2018/09/Rouladen-traditional-german-food.jpg
Germany,Bundestag,http://www.all-free-photos.com/images/berlin/PI88750-hr.jpg, Sauerbraten, https://www.swedishnomad.com/wp-content/images/2018/09/Sauerbraten.jpg
Germany,Brandenburg Gate,https://live.staticflickr.com/8136/29697552784_7f8bc40f0a_b.jpg, Spätzle,https://www.swedishnomad.com/wp-content/images/2018/09/Spatzle.jpg
Germany,Marienplatz,https://live.staticflickr.com/6044/6271348998_1c61435ab0_b.jpg, German Sausages,https://www.swedishnomad.com/wp-content/images/2019/07/Currywurst.jpg
Germany,Cologne Cathedral,https://live.staticflickr.com/7008/6679344321_2ea7f53d6b.jpg, Jägerschnitzel,https://www.swedishnomad.com/wp-content/images/2019/08/Jagerschnitzel.jpg
Chile,San Cristobal hill,https://live.staticflickr.com/4696/39077569934_a27a11a22a_n.jpg, Empanadas,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2017/01/filomenas-empanada-de-pino-.jpg
Chile,cerro santa lucia,https://c2.staticflickr.com/4/3464/4569715264_14ceaa2ac4_b.jpg, Ceviche,https://www.chileanfoodandgarden.com/wp-content/uploads/2019/02/ceviche-chileno-9-1024x683.jpg
Chile,Metropolitan Cathedral of Santiago de Chile,https://live.staticflickr.com/7357/10102598016_9fd81f0d59_b.jpg, Cazuela,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2017/01/chilean-cazuela-flickr-carlos-varela.jpg
Chile,la Moneda,https://live.staticflickr.com/65535/49033259257_526ec332f8.jpg, Choripán,https://comidatipica.blog/wp-content/uploads/2020/10/choripan.jpg
Chile,Valle del Elqui,https://live.staticflickr.com/3827/11084927583_8d1564e09f_b.jpg, Humitas,http://4.bp.blogspot.com/-tTh9SrQyRbE/Tb2MoxArrGI/AAAAAAAAB10/ke0I0OwAJLk/s1600/IMG_4572.JPG
Italy,Coliseum,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Colosseo_2020.jpg/1200px-Colosseo_2020.jpg, Pizza Napoletana,https://martinoragusa.it/wp-content/uploads/2014/12/pizza_napoletana_verace.jpg
Italy,Pantheon,http://s4.thingpic.com/images/jU/br5DYcyxsSRz2fuKVrRjJbuY.jpeg, Tagliatelle al Ragù,http://www.lifeblogger.it/wp/wp-content/uploads/2019/09/Tagliatelle-ragu.jpg
Italy,Milan Dome,https://upload.wikimedia.org/wikipedia/commons/9/9d/Milano%2C_Duomo%2C_2016-06_CN-03.jpg, Rigatoni alla Carbonara, https://media.cnn.com/api/v1/images/stellar/prod/210211140233-03-classic-italian-dishes.jpg?q=x_0,y_0,h_1413,w_2510,c_fill/h_720,w_1280/f_webp
Italy,Trevi Fountain,http://upload.wikimedia.org/wikipedia/commons/7/7e/Trevi_Fountain%2C_Rome%2C_Italy_2_-_May_2007.jpg, Trofie al Pesto,https://media.cnn.com/api/v1/images/stellar/prod/210211140254-04-classic-italian-dishes.jpg?q=x_0,y_0,h_2457,w_4366,c_fill/h_720,w_1280/f_webp
Italy,Saint Pierre Basilica,https://upload.wikimedia.org/wikipedia/commons/7/77/0_Basilique_Saint-Pierre_-_Rome_(2).JPG, Lasagne , https://media.cnn.com/api/v1/images/stellar/prod/210211141204-05-classic-italian-dishes.jpg?q=x_0,y_0,h_2988,w_5309,c_fill/h_720,w_1280/f_webp
Zimbabwe,Victoria Falls Bridge,http://www.techzim.co.zw/wp-content/uploads/2013/08/bridge.jpg, Bota,https://travelfoodatlas.com/wp-content/uploads/2021/06/bota-735x478.jpg.webp
Zimbabwe,National Monument of Greater Zimbabwe,https://live.staticflickr.com/4697/40103926251_34ec791197_b.jpg, Sadza,https://travelfoodatlas.com/wp-content/uploads/2021/06/Sadza-735x478.jpg.webp
Zimbabwe,Matobo Hills,https://global-geography.org/attach/Geography/Africa/Zimbabwe/Pictures/Matobo_Hills/Worlds_View_Matobo_7/B_126_Worlds_View_Matobo_NP_Worlds_View_Matobo.jpg, Mutakura,https://fthmb.tqn.com/vcv6Gr8s4VuA_n5PPXhzLmGgnfU=/425x472/filters:no_upscale():max_bytes(150000):strip_icc()/2015-02-23-21.35.33-5895b27e3df78caebc9c476f.jpg
Zimbabwe,Khami Ruins,https://live.staticflickr.com/5019/5446004670_cd011b3cf6_b.jpg, Umxhanxa,https://iloveafrica.com/wp-content/uploads/2021/12/umxhanxa-recipe-how-to-make-umxhanxa.jpg
Zimbabwe,World’s View,https://global-geography.org/attach/Geography/Africa/Zimbabwe/Pictures/Matobo_Hills/Worlds_View_Matobo_2/scaled-900x599-B_117_Worlds_View_Matobo_NP_Worlds_View_Matobo.jpg, Madhumbe,https://i.pinimg.com/originals/fb/0e/17/fb0e1749261c5da74095851df0582ccd.jpg
Zambia,Mukuni Village,https://live.staticflickr.com/3859/14339231367_747e7c8f77_b.jpg, Nshima,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2018/07/nsima_relishes.jpg
Zambia,Gorge Swing,https://live.staticflickr.com/3204/2929936107_224b3fc138_n.jpg, Delicacies,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2018/03/shutterstock_765650884.jpg
Zambia,Cathedral of the Holy Cross Lusaka,https://live.staticflickr.com/182/388617170_2a6a14d55e_n.jpg, Vegetables,https://i.pinimg.com/originals/11/b9/f1/11b9f10a878301680db4add80a42db5c.jpg
Zambia,Dag hammarskjoeld Memorial,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/1210_Matth%C3%A4us_Jiszda-Stra%C3%9Fe_4-6_-_Dag_Hammarskj%C3%B6ld-Hof_-_Dag_Hammarsk%C3%B6ld-Denkmal_von_Luise_Wolf_1963_IMG_6605.jpg/180px-1210_Matth%C3%A4us_Jiszda-Stra%C3%9Fe_4-6_-_Dag_Hammarskj%C3%B6ld-Hof_-_Dag_Hammarsk%C3%B6ld-Denkmal_von_Luise_Wolf_1963_IMG_6605.jpg,Chikanda, https://i.pinimg.com/originals/24/b2/bd/24b2bdecfa697cf17a3b4d2278ff1523.jpg 
Zambia,Shiwa Ngandu,http://aws.fuzzytravel.com/marter/pictures/331747.jpg, Ifishashi,https://1.bp.blogspot.com/-Zp7K5Y3NM8w/VCqyw1QLNsI/AAAAAAAAtYo/3TtkMvV2a18/s1600/Ifisashi%2B-002.JPG
Israel,old city of Jerusalem,https://i1.wp.com/www.middleeastmonitor.com/wp-content/uploads/2018/02/DWFZd5MWsAAdxk-MohamdNashwan.jpg, Jewish Penicillin (Chicken Soup), https://medmunch.com/wp-content/uploads/2020/10/Jewish-Penicillin-768x512.jpg
Israel,Western Wall,https://c1.staticflickr.com/4/3944/33400408541_4e615bb4e5.jpg, Israeli salad,https://medmunch.com/wp-content/uploads/2020/10/Israeli-salad-768x509.jpg
Israel,Tayelet,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Tayelet.jpg/1024px-Tayelet.jpg, Kubbeh Soup,https://medmunch.com/wp-content/uploads/2020/10/Kubbeh-Soup-768x513.jpg
Israel,Magdala,https://live.staticflickr.com/7511/15513146443_32887e8982.jpg, Sufganiyot,https://medmunch.com/wp-content/uploads/2020/10/Sufganiyot-1-768x672.jpg
Israel,The Western Wall Tunnels,https://live.staticflickr.com/4044/4676719533_4fbb1ebd7b_b.jpg, Ptitim,https://medmunch.com/wp-content/uploads/2020/10/Ptitim-768x512.jpg
Brazil,Sugar loaf,http://upload.wikimedia.org/wikipedia/commons/5/5f/Sugarloaf_mountain_in_Rio_de_Janeiro.jpg, Brigadeiro, https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2020/02/hhn8k1.jpg
Brazil,Statue of Christ the Redeemer,https://www.iheartbrazil.com/wp-content/uploads/2019/09/christ-the-redeemer-rio-de-janeiro-brazil.jpg, Canjica,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2020/02/fr9jn2.jpg
Brazil,Paulista Avenue,http://www.dieolsenban.de/blog/wp-content/uploads/2009/04/avenida_paulista.jpg, Açaí,http://hypescience.com/wp-content/uploads/2012/08/acai.jpg
Brazil,Rua das Pedras,https://i1.wp.com/nomadicniko.com/wp-content/uploads/2014/05/c4d50-dsc_2871.jpg?resize=501%2C339, Romeu and Julieta,https://flavorverse.com/wp-content/uploads/2019/08/Romeo-and-Juliet-Brazilian-Dessert.jpg
Brazil,Maracana,https://upload.wikimedia.org/wikipedia/commons/5/58/Maracan%C3%A3_2014_f.jpg, Pão de Queijo,https://img.theculturetrip.com/1440x/smart/wp-content/uploads/2020/02/pneedn.jpg
